"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\attack.py", "Python", 10, 0, 2, 3, 15
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\battle_turn.py", "Python", 140, 0, 13, 31, 184
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\game.py", "Python", 47, 0, 3, 11, 61
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\player.py", "Python", 18, 0, 1, 5, 24
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\shop_turn.py", "Python", 55, 0, 8, 21, 84
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\main.py", "Python", 33, 0, 1, 8, 42
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\pet.py", "Python", 338, 0, 31, 43, 412
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\pet_type.py", "Python", 36, 0, 5, 7, 48
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\shop.py", "Python", 89, 0, 27, 22, 138
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\team.py", "Python", 44, 0, 9, 10, 63
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\utils\concat.py", "Python", 7, 0, 8, 3, 18
"Total", "-", 817, 2, 108, 165, 1092
